$R$;		Complexity;		$\sigma$;		$\nu$;		$\omega$;		$\tau$
0.000100000000;		0.000067840200;		0.000067839780;		0.494079465834;		0.000005269727;		0.494113017898
0.000125892541;		0.000084817707;		0.000084817649;		0.493352832543;		0.000006762305;		0.493394717201
0.000158489319;		0.000106014089;		0.000106013979;		0.492536499480;		0.000008681445;		0.492588778714
0.000199526231;		0.000132466550;		0.000132466351;		0.491619288029;		0.000011149805;		0.491684512373
0.000251188643;		0.000165469159;		0.000165468814;		0.490588587571;		0.000014325391;		0.490669925115
0.000316227766;		0.000206612349;		0.000206611851;		0.489430233606;		0.000018416211;		0.489531562465
0.000398107171;		0.000257894681;		0.000257893858;		0.488128142043;		0.000023685547;		0.488254331018
0.000501187234;		0.000321785603;		0.000321784392;		0.486664280828;		0.000030475977;		0.486821299610
0.000630957344;		0.000401312498;		0.000401310429;		0.485018219364;		0.000039238672;		0.485213476687
0.000794328235;		0.000500259646;		0.000500255877;		0.483166925030;		0.000050549414;		0.483409561180
0.001000000000;		0.000623302359;		0.000623296709;		0.481084514076;		0.000065156250;		0.481385663929
0.001258925412;		0.000776173593;		0.000776164035;		0.478741523001;		0.000084039258;		0.479114996434
0.001584893192;		0.000965964450;		0.000965948285;		0.476104861938;		0.000108467578;		0.476567523522
0.001995262315;		0.001201389615;		0.001201361600;		0.473137070916;		0.000140094922;		0.473709576289
0.002511886432;		0.001493134152;		0.001493086460;		0.469795963214;		0.000181082617;		0.470503421567
0.003162277660;		0.001854291863;		0.001854217211;		0.466034132580;		0.000234251367;		0.466906784188
0.003981071706;		0.002300853361;		0.002300728314;		0.461797426083;		0.000303293164;		0.462872318477
0.005011872336;		0.002852291565;		0.002852084371;		0.457025536095;		0.000393048047;		0.458347025913
0.006309573445;		0.003532242722;		0.003531900118;		0.451650346208;		0.000509872852;		0.453271616816
0.007943282347;		0.004369279121;		0.004368703808;		0.445595170943;		0.000662133984;		0.447579815550
0.010000000000;		0.005397782628;		0.005396831706;		0.438774749673;		0.000860867969;		0.441197611262
0.020000000000;		0.010104522489;		0.010100045928;		0.412603417087;		0.001912613867;		0.416937481940
0.030000000000;		0.014461293849;		0.014450263809;		0.392402544735;		0.003071842773;		0.398388300731
0.040000000000;		0.018559705657;		0.018538482435;		0.375353047558;		0.004315574805;		0.382806394431
0.050000000000;		0.022447253708;		0.022412194209;		0.360354873546;		0.005631904883;		0.369127748985
0.060000000000;		0.026153657578;		0.026100404284;		0.346833845006;		0.007013448047;		0.356806060828
0.070000000000;		0.029699480365;		0.029624171869;		0.334452190333;		0.008455171094;		0.345516451281
0.080000000000;		0.033099884595;		0.032997634598;		0.322980513379;		0.009953435938;		0.335047023973
0.090000000000;		0.036366550260;		0.036233332019;		0.312266397810;		0.011505515234;		0.325250447385
0.100000000000;		0.039508769918;		0.039339094454;		0.302188689775;		0.013109302734;		0.316019346324
0.110000000000;		0.042534119946;		0.042322993421;		0.292662565317;		0.014763150586;		0.307272585479
0.120000000000;		0.045448897079;		0.045191557939;		0.283620531748;		0.016465751953;		0.298947074239
0.130000000000;		0.048258416656;		0.047949154387;		0.275004857176;		0.018216058984;		0.290992596895
0.140000000000;		0.050967222376;		0.050601311637;		0.266774071790;		0.020013241992;		0.283368405476
0.150000000000;		0.053579239322;		0.053150451994;		0.258886919556;		0.021856628516;		0.276040891840
0.160000000000;		0.056097888135;		0.055600917925;		0.251315023778;		0.023745699414;		0.268981948329
0.170000000000;		0.058526171861;		0.057955672824;		0.244031745182;		0.025680048828;		0.262167783240
0.180000000000;		0.060866743544;		0.060216803888;		0.237012998690;		0.027659366992;		0.255578045725
0.190000000000;		0.063121959471;		0.062386698414;		0.230239210826;		0.029683434961;		0.249195166680
0.200000000000;		0.065293922153;		0.064466960446;		0.223692174045;		0.031752104297;		0.243003853809
0.210000000000;		0.067384514236;		0.066461195914;		0.217360083708;		0.033865316992;		0.236990698938
0.220000000000;		0.069395427689;		0.068369348001;		0.211225962697;		0.036023039258;		0.231143868490
0.230000000000;		0.071328186575;		0.070193404590;		0.205278691043;		0.038225314062;		0.225452856548
0.240000000000;		0.073184167008;		0.071933894676;		0.199506073086;		0.040472216797;		0.219908285709
0.250000000000;		0.074964613306;		0.073594263909;		0.193901966911;		0.042763911914;		0.214501744860
0.260000000000;		0.076670652508;		0.075174236467;		0.188455146527;		0.045100555859;		0.209225655861
0.270000000000;		0.078303305771;		0.076673706425;		0.183155963096;		0.047482342773;		0.204073163060
0.280000000000;		0.079863498831;		0.078096948435;		0.178001871917;		0.049909584961;		0.199038041039
0.290000000000;		0.081352070934;		0.079440915528;		0.172980641740;		0.052382497461;		0.194114617051
0.300000000000;		0.082769782458;		0.080709428879;		0.168090230772;		0.054901462109;		0.189297705371
0.310000000000;		0.084117321620;		0.081901251879;		0.163322376279;		0.057466792383;		0.184582551418
0.320000000000;		0.085395310025;		0.083019993157;		0.158675385463;		0.060078946484;		0.179964783911
0.330000000000;		0.086604308292;		0.084062805267;		0.154140193420;		0.062738259375;		0.175440373705
0.340000000000;		0.087744820401;		0.085031537549;		0.149713853204;		0.065445210742;		0.171005598195
0.350000000000;		0.088817297448;		0.085927670643;		0.145393176298;		0.068200309570;		0.166657010397
0.360000000000;		0.089822141483;		0.086751180388;		0.141173631426;		0.071004054688;		0.162391411989
0.370000000000;		0.090759708453;		0.087502615940;		0.137051624712;		0.073856992969;		0.158205829694
0.380000000000;		0.091630310975;		0.088183602135;		0.133024841003;		0.076759743945;		0.154097494527
0.390000000000;		0.092434220859;		0.088791814282;		0.129087436148;		0.079712816016;		0.150063823499
0.400000000000;		0.093171671411;		0.089329838524;		0.125238485568;		0.082716929688;		0.146102403412
0.410000000000;		0.093842858885;		0.089798459077;		0.121475455484;		0.085772780664;		0.142210976498
0.420000000000;		0.094447944813;		0.090195833604;		0.117793770956;		0.088880983008;		0.138387427622
0.430000000000;		0.094987056937;		0.090525653435;		0.114193724332;		0.092042434766;		0.134629772869
0.440000000000;		0.095460290833;		0.090783779839;		0.110669301709;		0.095257703516;		0.130936149337
0.450000000000;		0.095867710866;		0.090975198468;		0.107221986219;		0.098527842969;		0.127304805976
0.460000000000;		0.096209351412;		0.091097541211;		0.103847545582;		0.101853579297;		0.123734095371
0.470000000000;		0.096485217288;		0.091152309586;		0.100544877662;		0.105235883984;		0.120222466333
0.480000000000;		0.096695284661;		0.091139949905;		0.097312158104;		0.108675721289;		0.116768457227
0.490000000000;		0.096839501645;		0.091059553863;		0.094146746056;		0.112174014648;		0.113370689941
0.500000000000;		0.096917788465;		0.090910449064;		0.091046348400;		0.115731737891;		0.110027864438
0.510000000000;		0.096930037887;		0.090697721657;		0.088012489585;		0.119350332227;		0.106738753821
0.520000000000;		0.096876115352;		0.090415583855;		0.085039713860;		0.123030516797;		0.103502199863
0.530000000000;		0.096755859000;		0.090069902480;		0.082130072515;		0.126773936523;		0.100317108961
0.540000000000;		0.096569079394;		0.089655900433;		0.079279094106;		0.130581469922;		0.097182448464
0.550000000000;		0.096315559672;		0.089177763608;		0.076487800852;		0.134454795703;		0.094097243346
0.560000000000;		0.095995054570;		0.088632969102;		0.073753323606;		0.138395093750;		0.091060573196
0.570000000000;		0.095607290621;		0.088022841108;		0.071075094796;		0.142403959180;		0.088071569498
0.580000000000;		0.095151964787;		0.087349242664;		0.068452823242;		0.146483150000;		0.085129413171
0.590000000000;		0.094628744454;		0.086610985552;		0.065884629883;		0.150634213281;		0.082233332366
0.600000000000;		0.094037265556;		0.085805690619;		0.063368178320;		0.154858626953;		0.079382600481
0.610000000000;		0.093377132210;		0.084939823069;		0.060905595508;		0.159159002148;		0.076576534404
0.620000000000;		0.092647914952;		0.084006605461;		0.058492503711;		0.163536512695;		0.073814492956
0.630000000000;		0.091849149485;		0.083010573209;		0.056130110938;		0.167993817578;		0.071095875530
0.640000000000;		0.090980334621;		0.081951802828;		0.053817468164;		0.172533195703;		0.068420120924
0.650000000000;		0.090040930362;		0.080829099543;		0.051553126758;		0.177156889453;		0.065786706355
0.660000000000;		0.089030355895;		0.079642953904;		0.049336460938;		0.181867536914;		0.063195146658
0.670000000000;		0.087947986572;		0.078394174544;		0.047167006055;		0.186668025391;		0.060644993674
0.680000000000;		0.086793151173;		0.077082402549;		0.045043843359;		0.191561268750;		0.058135835815
0.690000000000;		0.085565128574;		0.075706783052;		0.042965924414;		0.196550303906;		0.055667297832
0.700000000000;		0.084263143817;		0.074268718203;		0.040933146875;		0.201638819922;		0.053239040777
0.710000000000;		0.082886363856;		0.072769492242;		0.038945356250;		0.206830816602;		0.050850762183
0.720000000000;		0.081433892566;		0.071206565277;		0.037001008398;		0.212129851367;		0.048502196476
0.730000000000;		0.079904765194;		0.069580720851;		0.035099879297;		0.217540474414;		0.046193115638
0.740000000000;		0.078297941719;		0.067891393719;		0.033241297656;		0.223067354102;		0.043923330154
0.750000000000;		0.076612299446;		0.066141509692;		0.031425832617;		0.228716458789;		0.041692690274
0.760000000000;		0.074846624655;		0.064329148892;		0.029652413672;		0.234493163477;		0.039501087638
0.770000000000;		0.072999602189;		0.062454178204;		0.027920657422;		0.240403841406;		0.037348457327
0.780000000000;		0.071069804279;		0.060515190580;		0.026229841211;		0.246455182227;		0.035234780401
0.790000000000;		0.069055676557;		0.058513973398;		0.024580307227;		0.252655585742;		0.033160087025
0.800000000000;		0.066955522264;		0.056449900070;		0.022971685352;		0.259013728516;		0.031124460305
0.810000000000;		0.064767482872;		0.054322840582;		0.021403827734;		0.265539536133;		0.029128040978
0.820000000000;		0.062489515460;		0.052131761590;		0.019876403516;		0.272243920117;		0.027171033169
0.830000000000;		0.060119364885;		0.049874488336;		0.018388875391;		0.279138839453;		0.025253711475
0.840000000000;		0.057654530020;		0.047554678553;		0.016942379687;		0.286240416016;		0.023376429727
0.850000000000;		0.055092222150;		0.045171621108;		0.015536911328;		0.293565550586;		0.021539631930
0.860000000000;		0.052429313100;		0.042720003724;		0.014171446680;		0.301131779688;		0.019743866033
0.870000000000;		0.049662269099;		0.040201654866;		0.012846943555;		0.308963303711;		0.017989801480
0.880000000000;		0.046787066017;		0.037616016345;		0.011563878516;		0.317087892969;		0.016278251891
0.890000000000;		0.043799078108;		0.034960769675;		0.010322503125;		0.325538216992;		0.014610204883
0.900000000000;		0.040692928892;		0.032234240790;		0.009123464648;		0.334354952148;		0.012986862056
0.910000000000;		0.037462286514	;		0.029436144581;		0.007967981836;		0.343590295312;		0.011409693920
0.920000000000;		0.034099573624;		0.026560885186;		0.006856513281;		0.353307411328;		0.009880517580
0.930000000000;		0.030595541967;		0.023608112981;		0.005791093945;		0.363594516016;		0.008401610530
0.940000000000;		0.026938618299;		0.020573930213;		0.004773653320;		0.374569775586;		0.006975884933
0.950000000000;		0.023113840861;		0.017452203789;		0.003806632617;		0.386401356055;		0.005607170053
0.960000000000;		0.019100990962;		0.014235512605;		0.002893662109;		0.399346725195;		0.004300705708
0.970000000000;		0.014870943850;		0.010912601963;		0.002040049219;		0.413835750977;		0.003064099916
0.980000000000;		0.010377291446;		0.007469169678;		0.001254943359;		0.430707585938;		0.001909508447
0.990000000000;		0.005530763295;		0.003871186558;		0.000554939258;		0.452098630273;		0.000860207505
